vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1HGCV1F46MA050823,2021,Honda,Accord,Sport SE 1.5T ,19995,105677,Automatic,FWD,Gas,29,35,Platinum White Pearl,Unknown, Orlando, FL
2C3CDXBG9LH116502,2020,Dodge,Charger,SXT ,21465,67913,Automatic,RWD,Gas,19,30,Torred Clearcoat,Black, Orlando, FL
1GYKNCRS7LZ130075,2020,Cadillac,XT5,Premium Luxury ,33990,27866,Automatic,FWD,Gas,21,28,Stellar Black Metallic,Jet Black, Miami, FL
3N1AB8CV5MY241121,2021,Nissan,Sentra,SV ,20888,43152,Automatic,FWD,Gas,29,39,Gun Metallic,Tan, Mesquite, TX
WDCGG8HB0CF832268,2012,Mercedes-Benz,GLK,GLK 350 4MATIC,12495,117802,Automatic,AWD,Gas,16,21,Diamond White Metallic,Tan, Warminster, PA
1FA6P8TH7F5407305,2015,Ford,Mustang,EcoBoost Premium Fastback,19750,58878,Manual,RWD,Gas,22,31,Ruby Red Metallic Tinted Clearcoat,Ebony, Columbus, GA
WA1AJAF7XMD012547,2021,Audi,Q7,Premium 2.0,44751,19864,Automatic,AWD,Gas,19,23,Glacier White Metallic,Black, Arcadia, CA
3C4NJDCB3MT586208,2021,Jeep,Compass,Limited ,23970,46409,Automatic,4WD,Gas,22,30,White Clearcoat,Black, Glendale, CA
5J6RE4H7XAL070990,2010,Honda,CR-V,EX-L ,8499,165527,Automatic,4WD,Gas,21,27,Blue,Ivory, Sanford, NC
1G1ZD5ST0MF020924,2021,Chevrolet,Malibu,LT,19888,69769,Automatic,4WD,Gas,18,23,Red,Dark Earth Gray, Mission, KS
1GCUDJEL0PZ182979,2023,Chevrolet,Silverado,High Country Crew Cab Short Bed ,75116,4840,Automatic,4WD,Gas,16,20,Iridescent Pearl Tricoat,Jet Black, Salt Lake City, UT
JN8AY2ND8H9009920,2017,Nissan,Armada,SV ,21995,88917,Automatic,RWD,Gas,14,19,Brilliant Silver,Charcoal, Tampa, FL
WDDKJ5KB6EF283855,2014,Mercedes-Benz,E-Class,E 350 Coupe ,21998,57202,Automatic,RWD,Gas,21,30,Diamond White Metallic,Black, Fort Myers, FL
5N1DR3CC0PC212805,2023,Nissan,Pathfinder,SL ,41739,5110,Automatic,4WD,Gas,20,25,Pearl White Tricoat,Charcoal, Salt Lake City, UT
JTHFN48Y840055278,2004,Lexus,SC,SC 430 Convertible,19000,84422,Automatic,RWD,Gas,18,23,Egyptian Sand Pearl,La00, Littleton, CO
1HGCV2F96KA018534,2019,Honda,Accord,Touring 2.0T ,29442,25475,Automatic,FWD,Gas,22,32,Platinum White Pearl,Black, Bountiful, UT
1FMCU0GD5KUB79220,2019,Ford,Escape,SE ,19995,19465,Automatic,4WD,Gas,19,22,Iconic Silver Metallic,Black, Decatur, TX
4S4BTAPC8P3121384,2023,Subaru,Outback,Touring,43999,3070,Automatic,AWD,Gas,26,32,Crystal White Pearl,Slate Black, Hawthorne, CA
5NPD84LF5HH190927,2017,Hyundai,Elantra,SE 2.0L Sedan ,13100,120755,Automatic,4WD,Gas,16,22,White Platinum Metallic Tri-Coat,Mesa, Mount Dora, FL
JTDEPMAE4MJ178349,2021,Toyota,Corolla,LE ,21955,37031,Automatic,FWD,Gas,30,38,Black Sand Pearl,Black, Homestead, FL
5TDBY5G19LS176169,2020,Toyota,Sequoia,SR5 ,45955,37249,Automatic,4WD,Gas,13,17,Unknown,Graphite, Boise, ID
5N1AT3BA2MC814394,2021,Nissan,Rogue,SV ,28990,12979,Automatic,FWD,Gas,26,34,Pearl White Tricoat,Charcoal, Clarksville, TN
3GNCJPSB7LL259794,2020,Chevrolet,Trax,LT ,19999,28045,Automatic,AWD,Gas,24,29,Satin Steel Metallic,Jet Black, Online Retailer,
1G1ZE5STXHF256810,2017,Chevrolet,Malibu,LT with 1LT,13000,109040,Automatic,FWD,Gas,27,36,Iridescent Pearl Tricoat,Jet Black, Van Nuys, CA
3GKALPEV5LL258910,2020,GMC,Terrain,SLT ,22318,43096,Automatic,FWD,Gas,26,30,Summit White,Jet Black, Fort Lauderdale, FL
W1N0G8EB5NV393579,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,42688,36194,Automatic,AWD,Gas,21,28,Black,Black, Henrico, VA
