vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1FTFW1E84MFA75039,2021,Ford,F-150,Limited SuperCrew 5.5' Box ,58823,53896,Automatic,4WD,Gas,18,23,Star White Metallic Tri-Coat,Admiral Blue, Bountiful, UT
1FMEE5JR7PLB02627,2023,Ford,Bronco,Raptor 4 Door Advanced 4x4,105000,1529,Automatic,4WD,Gas,15,16,Cactus Gray,Black Onyx, Salt Lake City, UT
1C6RR7VM7FS612492,2015,Ram,1500,"Laramie Crew Cab 6'4"" Box ",27534,91446,Automatic,4WD,Diesel,15,21,Bright White Clearcoat,Black, Salt Lake City, UT
3C4NJDCB4MT583205,2021,Jeep,Compass,Limited ,24860,47842,Automatic,4WD,Gas,22,30,Velvet Red Pearlcoat,Black, Bountiful, UT
1C4BJWDG1GL140048,2016,Jeep,Wrangler,Unlimited Sport,24722,79758,Automatic,4WD,Gas,16,21,Bright White Clearcoat,Black, Bountiful, UT
1FMZK1ZM5HKA45542,2017,Ford,Transit,"T-150 XL with Swing-Out RH Door 130"" Low Roof",29377,75912,Automatic,RWD,Gas,14,18,Oxford White,Pewter, Bountiful, UT
1C4HJXFG5LW142469,2020,Jeep,Wrangler,Unlimited Rubicon,45990,27772,Automatic,4WD,Gas,17,23,Black Clearcoat,Black, Salt Lake City, UT
1C4RDJDG0LC187090,2020,Dodge,Durango,GT Plus ,29433,65575,Automatic,AWD,Gas,18,25,White Knuckle Clearcoat,Black, Bountiful, UT
1G11C5SL0FF329361,2015,Chevrolet,Malibu,LT with 1LT,7995,120284,Automatic,FWD,Gas,25,36,Black Granite Metallic,Jet Black, Bountiful, UT
1C4PJMLX5KD421803,2019,Jeep,Cherokee,Latitude Plus ,23988,32856,Automatic,4WD,Gas,21,29,Diamond Black Crystal Pearlcoat,Black, Salt Lake City, UT
1FTEW1EG6JFD46147,2018,Ford,F-150,Lariat SuperCrew 5.5' Box ,37303,61938,Automatic,4WD,Gas,19,24,Oxford White,Black, Bountiful, UT
1C4HJXFN6MW506608,2021,Jeep,Wrangler,Unlimited Rubicon,43151,40995,Automatic,4WD,Gas,17,23,Sting-Gray Clearcoat,Black, Bountiful, UT
2GNAXTEV7M6142162,2021,Chevrolet,Equinox,LT with 2FL ,23497,31841,Automatic,AWD,Gas,25,30,Summit White,Jet Black, North Salt Lake, UT
1FMSK8FH1MGB07971,2021,Ford,Explorer,Limited ,33041,60442,Automatic,4WD,Gas,20,27,Carbonized Gray Metallic,Ebony, Bountiful, UT
ZACCJBDBXJPH10889,2018,Jeep,Renegade,Limited ,21599,28837,Automatic,4WD,Gas,21,29,Alpine White,Black, Bountiful, UT
1FMCU9J90LUB15984,2020,Ford,Escape,Titanium ,25411,55942,Automatic,AWD,Gas,23,31,Agate Black Metallic,Ebony Black, Bountiful, UT
