vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
JTLZE4FE6CJ025362,2012,Scion,xB,Base ,8995,130423,Automatic,FWD,Gas,22,27,Black Sand Pearl,Dark Charcoal, Westminster, CA
1HGCV1F37JA174957,2018,Honda,Accord,Sport 1.5T ,22924,62546,Automatic,FWD,Gas,29,35,Radiant Red Metallic,Black, Bellflower, CA
5XXG64J28NG120140,2022,Kia,K5,GT-Line ,30995,27102,Automatic,FWD,Gas,27,37,Wolf Gray,Black, Cerritos, CA
3MW5R1J01L8B09462,2020,BMW,3,330i ,26986,52759,Automatic,RWD,Gas,26,36,Alpine White,Black, Valencia, CA
2HGFC3A52JH756649,2018,Honda,Civic,Si Coupe ,24338,58297,Manual,FWD,Gas,28,38,Gray,Black, West Covina, CA
W1KWF8DB7LR566617,2020,Mercedes-Benz,C-Class,C 300 Sedan ,29998,46972,Automatic,RWD,Gas,24,35,Black,Black, Canoga Park, CA
WDCTG4EB5JJ459072,2018,Mercedes-Benz,GLA,GLA 250 ,21999,79507,Automatic,FWD,Gas,24,33,Jupiter Red,Black, Inglewood, CA
JF2SKAJC7LH492969,2020,Subaru,Forester,2.5i Premium,29777,22789,Automatic,AWD,Gas,26,33,Magnetite Gray Metallic,Black, Glendale, CA
19XFC2F71JE209371,2018,Honda,Civic,EX Sedan ,20494,72331,Automatic,FWD,Gas,31,40,White Orchid Pearl,Black, Carson, CA
W1N4M4GBXPW287089,2023,Mercedes-Benz,GLB,GLB 250 ,44133,2753,Manual,FWD,Gas,24,32,Mountain Grey Metallic,Black, Arcadia, CA
WDBUF70J15A681139,2005,Mercedes-Benz,E-Class,E 500 Sedan ,8995,90369,Automatic,RWD,Gas,17,25,Brilliant Silver Metallic,Gray, Los Angeles, CA
5UXCR4C09N9J99198,2022,BMW,X5,sDrive40i,52500,31350,Automatic,RWD,Gas,21,26,Alpine White,Black, North Hollywood, CA
5NPEC4AC1BH183573,2011,Hyundai,Sonata,SE 2.4L ,7495,136609,Automatic,FWD,Gas,22,35,Phantom Black Metallic,Black, Los Angeles, CA
WDDZF8DB4LA756936,2020,Mercedes-Benz,E-Class,E 350 Sedan ,37256,44699,Automatic,RWD,Gas,23,32,Polar White,125/Macchiatobe, West Covina, CA
JM3KFBCM2M0444589,2021,Mazda,CX-5,Touring ,25995,35541,Automatic,AWD,Gas,24,30,Jet Black Mica,Black, Orange, CA
WBXYJ1C04L5P62145,2020,BMW,X2,xDrive28i,28999,39377,Automatic,AWD,Gas,24,31,Mineral White Metallic,Oyster, Monrovia, CA
WBANU53559C120917,2009,BMW,5,528i Sedan,9995,74933,Automatic,RWD,Gas,18,28,Titanium Silver Metallic,Gray, Sherman Oaks, CA
WDDSJ4EB6FN279303,2015,Mercedes-Benz,CLA,CLA 250 ,14995,112277,Automatic,FWD,Gas,26,38,Cirrus White,Black, Los Angeles, CA
2HGFE2F57NH500767,2022,Honda,Civic,Sport Sedan ,26995,30561,Automatic,FWD,Gas,30,37,Lunar Silver Metallic,Black, Valencia, CA
2HGFC2F50JH522044,2018,Honda,Civic,LX Sedan ,19688,47902,Automatic,FWD,Gas,31,40,Lunar Silver Metallic,Black, Torrance, CA
